frozenset({'Nakamura Satoshi', 'Yoshino Koichiro'}) 19
frozenset({'Chen Nancy', 'Liu Zhengyuan'}) 10
frozenset({'Winata Genta Indra', 'Fung Pascale'}) 26
frozenset({'Majumder Navonil', 'Poria Soujanya'}) 12
frozenset({'Poria Soujanya', 'Mihalcea Rada'}) 11
frozenset({'Ultes Stefan', 'Minker Wolfgang'}) 18
frozenset({'Mehri Shikib', 'Eskenazi Maxine'}) 10
frozenset({'Madotto Andrea', 'Fung Pascale'}) 27
frozenset({'Da San Martino Giovanni', 'Nakov Preslav'}) 25
frozenset({'Chamberlain Jon', 'Poesio Massimo'}) 11
frozenset({'Pouran Ben Veyseh Amir', 'Nguyen Thien Huu'}) 13
frozenset({'Nguyen Thien Huu', 'Dernoncourt Franck'}) 11
frozenset({'Zhang Xuejie', 'Wang Jin'}) 30
frozenset({'Lu Qin', 'Xiang Rong'}) 10
frozenset({'Huang Chu-Ren', 'Xiang Rong'}) 10
frozenset({'Huang Chu-Ren', 'Chersoni Emmanuele'}) 14
frozenset({'Lu Qin', 'Li Wenjie'}) 22
frozenset({'Huang Chu-Ren', 'Lu Qin'}) 15
frozenset({'Kondrak Grzegorz', 'Hauer Bradley'}) 20
frozenset({'Bansal Mohit', 'Pasunuru Ramakanth'}) 19
frozenset({'Wang Hsin-Min', 'Chen Kuan-Yu'}) 15
frozenset({'Lo Tien-Hong', 'Chen Berlin'}) 10
frozenset({'Lee Lung-Hao', 'Tseng Yuen-Hsien'}) 11
frozenset({'Weir David', 'Weeds Julie'}) 15
frozenset({'Winata Genta Indra', 'Liu Zihan'}) 16
frozenset({'Fung Pascale', 'Liu Zihan'}) 22
frozenset({'Winata Genta Indra', 'Madotto Andrea'}) 13
frozenset({'Luo Fuli', 'Yang Pengcheng'}) 11
frozenset({'Liu Tianyu', 'Sui Zhifang'}) 14
frozenset({'Liu Tianyu', 'Chang Baobao'}) 15
frozenset({'Sui Zhifang', 'Chang Baobao'}) 33
frozenset({'Fung Pascale', 'Xu Peng'}) 14
frozenset({'Rei Marek', 'Yannakoudakis Helen'}) 10
frozenset({'Galitsky Boris', 'Ilvovsky Dmitry'}) 17
frozenset({'Georgiev Georgi', 'Nakov Preslav'}) 11
frozenset({'Nakov Preslav', 'Koychev Ivan'}) 15
frozenset({'Angelova Galia', 'Boytcheva Svetla'}) 10
frozenset({'Costa-juss{\\`a} Marta R.', 'Escolano Carlos'}) 11
frozenset({'Kamigaito Hidetaka', 'Okumura Manabu'}) 27
frozenset({'Espa{\\~n}a-Bonet Cristina', 'van Genabith Josef'}) 10
frozenset({'Kamigaito Hidetaka', 'Takamura Hiroya'}) 18
frozenset({'Okumura Manabu', 'Takamura Hiroya'}) 44
frozenset({'Yeung Chak Yan', 'Lee John'}) 12
frozenset({'Gravier Guillaume', "S{\\'e}billot Pascale"}) 12
frozenset({'Simov Kiril', 'Osenova Petya'}) 51
frozenset({'Poncelas Alberto', 'Way Andy'}) 12
frozenset({'Vo Ngoc Phuoc An', 'Popescu Octavian'}) 15
frozenset({'Villata Serena', 'Cabrio Elena'}) 14
frozenset({'Ninomiya Takashi', 'Tamura Akihiro'}) 12
frozenset({'Mohtarami Mitra', 'Glass James'}) 10
frozenset({'Glass James', 'Nakov Preslav'}) 10
frozenset({'Zhang Zhuosheng', 'Zhao Hai'}) 17
frozenset({'Matsubara Shigeki', 'Kato Yoshihide'}) 15
frozenset({'Pyysalo Sampo', 'Ginter Filip'}) 12
frozenset({'Ginter Filip', 'Kanerva Jenna'}) 19
frozenset({'{\\O}vrelid Lilja', 'Velldal Erik'}) 31
frozenset({'Velldal Erik', 'Oepen Stephan'}) 16
frozenset({'{\\O}vrelid Lilja', 'Oepen Stephan'}) 12
frozenset({'Anderson Mark', "G{\\'o}mez-Rodr{\\'\\i}guez Carlos"}) 10
frozenset({'Chang Walter', 'Dernoncourt Franck'}) 18
frozenset({'Lin Jimmy', 'Xin Ji'}) 11
frozenset({'Gerlach Johanna', 'Bouillon Pierrette'}) 14
frozenset({'Tsourakis Nikos', 'Bouillon Pierrette'}) 10
frozenset({'Mihalcea Rada', "P{\\'e}rez-Rosas Ver{\\'o}nica"}) 23
frozenset({'Winata Genta Indra', 'Lin Zhaojiang'}) 12
frozenset({'Madotto Andrea', 'Lin Zhaojiang'}) 16
frozenset({'Lin Zhaojiang', 'Fung Pascale'}) 19
frozenset({'Wang Haifeng', 'Wu Hua'}) 68
frozenset({'Baldwin Timothy', 'Lau Jey Han'}) 35
frozenset({'Lebanoff Logan', 'Liu Fei'}) 11
frozenset({'Bernardy Jean-Philippe', 'Chatzikyriakidis Stergios'}) 10
frozenset({'Sajjad Hassan', 'Dalvi Fahim'}) 17
frozenset({'Sajjad Hassan', 'Durrani Nadir'}) 29
frozenset({'Dalvi Fahim', 'Durrani Nadir'}) 16
frozenset({'Bui Trung', 'Dernoncourt Franck'}) 16
frozenset({'Verhagen Marc', 'Pustejovsky James'}) 28
frozenset({'Komachi Mamoru', 'Kaneko Masahiro'}) 15
frozenset({'Ananiadou Sophia', 'Miwa Makoto'}) 11
frozenset({'Han Jiawei', 'Ji Heng'}) 22
frozenset({'Roth Dan', 'Ning Qiang'}) 19
frozenset({'Specia Lucia', 'Bojar Ond{\\v{r}}ej'}) 10
frozenset({'Demeester Thomas', 'Develder Chris'}) 14
frozenset({'Malakasiotis Prodromos', 'Androutsopoulos Ion'}) 16
frozenset({'Reimers Nils', 'Gurevych Iryna'}) 11
frozenset({'Daxenberger Johannes', 'Gurevych Iryna'}) 13
frozenset({'Navigli Roberto', 'Conia Simone'}) 10
frozenset({'Cohen Shay B.', 'Lapata Mirella'}) 12
frozenset({'Gan Zhe', 'Cheng Yu'}) 13
frozenset({'Gan Zhe', 'Liu Jingjing'}) 14
frozenset({'Cheng Yu', 'Liu Jingjing'}) 12
frozenset({'Zhang Rui', 'Radev Dragomir'}) 15
frozenset({'Radev Dragomir', 'Yu Tao'}) 12
frozenset({'Zhang Rui', 'Yu Tao'}) 10
frozenset({'Neubig Graham', 'Wang Xinyi'}) 10
frozenset({'Ruppenhofer Josef', 'Wieg Michael'}) 22
frozenset({'Krahmer Emiel', 'van der Lee Chris'}) 10
frozenset({'Zhu Chenguang', 'Zeng Michael'}) 13
frozenset({'Du Xinya', 'Cardie Claire'}) 10
frozenset({'Jiang Haoming', 'Zhao Tuo'}) 11
frozenset({'Gao Jianfeng', 'Liu Xiaodong'}) 23
frozenset({'Foster George', 'Cherry Colin'}) 14
frozenset({'Gliozzo Alfio', 'Glass Michael'}) 10
frozenset({'Khot Tushar', 'Sabharwal Ashish'}) 19
frozenset({'Xia Congying', 'Yu Philip'}) 10
frozenset({'Zhang Qi', 'Huang Xuanjing'}) 41
frozenset({'Liu Pengfei', 'Huang Xuanjing'}) 16
frozenset({'Yu Dong', 'Xu Kun'}) 10
frozenset({'Hirao Tsutomu', 'Nagata Masaaki'}) 22
frozenset({'Feng Yansong', 'Zhao Dongyan'}) 29
frozenset({'Yan Rui', 'Zhao Dongyan'}) 26
frozenset({'Duan Nan', 'Gong Yeyun'}) 14
frozenset({'Wei Zhongyu', 'Huang Xuanjing'}) 20
frozenset({'Suleman Kaheer', 'Trischler Adam'}) 10
frozenset({'Li Zhenghua', 'Zhang Min'}) 33
frozenset({'Zhang Yue', 'Zhang Min'}) 13
frozenset({'Qiu Xipeng', 'Yan Hang'}) 10
frozenset({'Liu Pengfei', 'Qiu Xipeng'}) 16
frozenset({'Sun Xu', 'Ren Xuancheng'}) 20
frozenset({'Sun Xu', 'Su Qi'}) 11
frozenset({'Wu Chuhan', 'Wu Fangzhao'}) 28
frozenset({'Wu Chuhan', 'Huang Yongfeng'}) 29
frozenset({'Huang Yongfeng', 'Wu Fangzhao'}) 27
frozenset({'Kim Doo Soon', 'Dernoncourt Franck'}) 12
frozenset({'Kim Doo Soon', 'Bui Trung'}) 11
frozenset({'Liang Paul Pu', 'Morency Louis-Philippe'}) 13
frozenset({'Ge Tao', 'Wei Furu'}) 14
frozenset({'Xu Ke', 'Wei Furu'}) 15
frozenset({'Sawhney Ramit', 'Shah Rajiv Ratn'}) 15
frozenset({'Lin Chenghua', 'Chen Guanyi'}) 10
frozenset({'Plank Barbara', 'Hovy Dirk'}) 14
frozenset({'Chang Kai-Wei', 'Ahmad Wasi'}) 10
frozenset({'Yin Pengcheng', 'Neubig Graham'}) 10
frozenset({'Song Yan', 'Tian Yuanhe'}) 20
frozenset({'Dinan Emily', 'Weston Jason'}) 10
frozenset({'Parikh Devi', 'Batra Dhruv'}) 13
frozenset({'Chang Walter', 'Bui Trung'}) 13
frozenset({'Zhou Ming', 'Wei Furu'}) 51
frozenset({'Yang Nan', 'Zhou Ming'}) 11
frozenset({'Yan Yuanmeng', 'He Keqing'}) 10
frozenset({'Yan Yuanmeng', 'Xu Weiran'}) 12
frozenset({'Xu Weiran', 'He Keqing'}) 11
frozenset({'Prabhumoye Shrimai', 'Black Alan W'}) 11
frozenset({'Qin Tao', 'Wu Lijun'}) 10
frozenset({'Qin Tao', 'Liu Tie-Yan'}) 18
frozenset({'Chang Kai-Wei', 'Zhao Jieyu'}) 13
frozenset({'Chen Kehai', 'Wang Rui'}) 17
frozenset({'Wang Rui', 'Utiyama Masao'}) 26
frozenset({'Sumita Eiichiro', 'Wang Rui'}) 25
frozenset({'Chen Kehai', 'Utiyama Masao'}) 15
frozenset({'Chen Kehai', 'Sumita Eiichiro'}) 15
frozenset({'Zhao Tiejun', 'Sumita Eiichiro'}) 12
frozenset({'Zhou Ming', 'Zhang Dongdong'}) 23
frozenset({'Li Zhoujun', 'Zhou Ming'}) 11
frozenset({'Nie Yixin', 'Bansal Mohit'}) 10
frozenset({'Riedel Sebastian', 'Stenetorp Pontus'}) 17
frozenset({'Poesio Massimo', 'Yu Juntao'}) 12
frozenset({'Han Jiawei', 'Ren Xiang'}) 13
frozenset({'Muresan Smara', 'Chakrabarty Tuhin'}) 14
frozenset({'Le Bras Ronan', 'Choi Yejin'}) 11
frozenset({'Choi Yejin', 'Bhagavatula Chra'}) 14
frozenset({'Xing Eric', 'Hu Zhiting'}) 13
frozenset({'Bosselut Antoine', 'Choi Yejin'}) 14
frozenset({'Biemann Chris', 'Yimam Seid Muhie'}) 19
frozenset({'Gardner Matt', 'Dasigi Pradeep'}) 12
frozenset({'Ren Xiang', 'Lin Bill Yuchen'}) 16
frozenset({'Dhingra Bhuwan', 'Cohen William'}) 11
frozenset({"Daum{\\'e} III Hal", 'Boyd-Graber Jordan'}) 13
frozenset({'Liu Bing', 'Xu Hu'}) 15
frozenset({'Gao Jianfeng', 'Celikyilmaz Asli'}) 13
frozenset({'Choi Yejin', 'Holtzman Ari'}) 12
frozenset({'Brockett Chris', 'Zhang Yizhe'}) 11
frozenset({'Dolan Bill', 'Zhang Yizhe'}) 10
frozenset({'Dolan Bill', 'Brockett Chris'}) 19
frozenset({'Lei Tao', 'Barzilay Regina'}) 13
frozenset({'Brockett Chris', 'Galley Michel'}) 15
frozenset({'Gao Jianfeng', 'Galley Michel'}) 16
frozenset({'Dolan Bill', 'Galley Michel'}) 15
frozenset({'Brockett Chris', 'Gao Jianfeng'}) 14
frozenset({'Dolan Bill', 'Gao Jianfeng'}) 13
frozenset({'Xiang Bing', 'Nallapati Ramesh'}) 15
frozenset({'Wei Zhongyu', 'Zhang Qi'}) 13
frozenset({'Kurohashi Sadao', 'Murawaki Yugo'}) 15
frozenset({'Yu Kai', 'Chen Lu'}) 17
frozenset({'Yu Kai', 'Zhu Su'}) 11
frozenset({'Yao Yuan', 'Liu Zhiyuan'}) 10
